Tempo_Ephemeris_s,Tipo_Dado_ID,Banda_ID,Observavel
1753118936,11,3,-124089.175510405
1753118937,11,2,-32654.75597
1753118937,11,3,-124087.318813323
1753118938,11,2,-32654.346303939
1753118938,11,3,-124085.406757354
1753118939,11,3,-124083.663906096
1753118939,11,2,-32654.055433272
1753118940,11,2,-32653.422872542
1753118940,11,3,-124081.717853545
1753118941,11,3,-124079.898002624
1753118941,11,2,-32653.004041671
1753118942,11,2,-32652.414398192
1753118942,11,3,-124077.997959136
1753118943,11,2,-32651.750808715
1753118943,11,3,-124076.055767058
1753118944,11,2,-32650.869060515
1753118944,11,3,-124074.107994079
1753118945,11,2,-32650.671339034
1753118945,11,3,-124072.307842254
1753118946,11,3,-124070.409656524
1753118946,11,2,-32650.029199599
1753118947,11,3,-124068.540462493
1753118947,11,2,-32649.634305953
1753118948,11,2,-32649.193367003
1753118948,11,3,-124066.711219787
1753118949,11,3,-124064.749683379
1753118949,11,2,-32648.276510238
1753118950,11,2,-32648.051643371
1753118950,11,3,-124062.909114837
1753118951,11,2,-32647.487169265
1753118951,11,3,-124061.046360015
1753118952,11,2,-32647.050399779
1753118952,11,3,-124059.154315947
1753118953,11,2,-32646.922950744
1753118953,11,3,-124057.442996978
1753118954,11,2,-32646.304439544
1753118954,11,3,-124055.507854461
1753118955,11,3,-124053.604274749
1753118955,11,2,-32645.734260558
1753118956,11,2,-32645.610361098
1753118956,11,3,-124051.861263274
1753118957,11,3,-124049.897346496
1753118957,11,2,-32644.809555053
1753118958,11,2,-32644.534997939
1753118958,11,3,-124048.065238952
1753118959,11,2,-32643.915618895
1753118959,11,3,-124046.200862884
1753118960,11,2,-32643.447643279
1753118960,11,3,-124044.30473709
