source_id,ra,dec,astrometric_excess_noise
2545532219038598784,4.2973728805473606,0.23661922709375577,1.7832637
2545533382973921408,4.277570237623089,0.2923529563474513,1.9880825
2545537235558663552,4.10010055273103,0.21310402148134516,1.7786691
2545541118210923904,3.992345568965432,0.2644827490912842,42.017387
2545544756047054592,3.992375717246963,0.40213057130854385,2.1828465
2545545065284526080,4.027948199693773,0.3976067361358675,1.9663395
2545545408882337536,4.210852605213141,0.3212045928380435,19.196514
2545550837720575744,4.08012864577381,0.4169196097508958,1.2413727
2545551387476333824,4.125226028997234,0.4575566026294835,3.3720753
2545557267286754432,4.672004906834566,0.4589210670776166,2.9751048
2545562829268830976,4.5863315018407445,0.5803136338287409,14.6151705
2545566299604358272,4.773334943131187,0.5805455823036246,7.547483
2545569976094450816,4.756360895513567,0.6588372439838326,36.1576
2545572419932532608,4.460407367680849,0.5086799611619088,1.2912068
2545573656883467136,4.374344658913759,0.5511672112830265,15.39211
2545575061335686656,4.444602824718595,0.5740104420150934,1.6619589
2545575473654376832,4.451895078905342,0.6216636716409814,2.0416145
2545578325514516608,4.397338071892242,0.6002676691056711,57.708656
2545579596822436352,4.384011458438552,0.6678384073873347,2.4464219
2545579738557215744,4.340372669761197,0.6664457913781984,20.303688
2545580799412298496,4.547694307234738,0.6170124137804877,2.3860495
2545584407185922304,4.674140511320383,0.7681129151575199,3.2202766
2545584892517614080,4.663791188471624,0.8079317753108323,50.288605
2545586679224002560,4.4747070845941685,0.7735462287495601,7.9904156
2545587366417498752,4.597382777036275,0.7926752352904342,1.1759566
2545587813095379584,4.630666387056915,0.8113465877473355,33.859943
2545593271997472640,3.9630863851164566,0.4774657528183854,2.566853
2545594268430044288,3.830091438143797,0.41689690452307576,11.14438
2545600178305053440,4.034765216536508,0.5711195228877248,3.4649754
2545603682999409792,3.902108158886573,0.5839277309330295,3.2683365
2545606642230200960,4.019637779506649,0.6995235936348272,1.1011473
2545607157628338048,3.7168445528254783,0.49568037626994116,24.057367
2545609008757580800,3.7004260311141093,0.5793372503661585,15.724168
2545612792625026432,3.531880187019387,0.6060528217556697,1.5400898
2545617392534045952,3.8885054285785983,0.6895905595552726,1.1669114
